origin,origin_avg_dep_delay,origin_avg_taxi_out,origin_avg_wheels_off,origin_avg_wheels_on,origin_avg_taxi_in,origin_avg_arr_delay,origin_avg_crs_elapsed_time,origin_avg_actual_elapsed_time,origin_avg_air_time,origin_avg_carrier_delay,origin_avg_weather_delay,origin_avg_nas_delay,origin_avg_security_delay,origin_avg_late_aircraft_delay,origin_avg_total_add_gtime,origin_avg_longest_add_gtime
DVL,-5.34790528233151,20.5355191256831,941.241347905282,986.948087431694,6.70947176684882,-7.18306010928962,83.8214936247723,81.9863387978142,54.7413479052823,6.78861788617886,4.64227642276423,16.390243902439,0.195121951219512,16.8536585365854,21.5,21.5
EAR,-7.39486552567237,17.3887530562347,1100.47677261614,1097.37408312958,9.5440097799511,-11.9535452322738,86.359413202934,81.8007334963325,54.8679706601467,5.52054794520548,0.876712328767123,20.5753424657534,0.0,20.5068493150685,31.0,31.0
EAT,5.93163538873995,8.60411081322609,1243.15236818588,1289.83869526363,8.00625558534406,6.62868632707775,46.3708668453977,47.0679177837355,30.4575513851653,3.27027027027027,2.14760914760915,18.1975051975052,0.0,15.7463617463617,17.5,17.5
EAU,-2.12308868501529,17.2729357798165,961.977828746177,1048.94418960245,14.3952599388379,-3.37767584097859,83.3142201834862,82.0596330275229,50.3914373088685,5.05649717514124,0.451977401129944,20.361581920904,0.0,18.4632768361582,47.25,47.25
ECP,2.72629030863664,12.5622028183626,1204.76821993602,1367.62505403302,8.71219849572058,-2.79009250453877,98.7804962393015,93.264113426126,71.9897121120429,9.88803358992302,1.23932820153954,10.5038488453464,0.117564730580826,22.7739678096571,24.9047619047619,24.9047619047619
EGE,3.81594236579131,18.5791308389496,1272.71740646061,1500.03044387637,10.773413897281,-0.188473158261678,130.370206832442,126.365791308389,97.013246572159,8.13584474885845,1.36073059360731,15.263698630137,0.04337899543379,21.1267123287671,39.6923076923077,39.6923076923077
EKO,-4.71340523882897,12.5277349768875,954.430662557781,1122.67103235747,4.53235747303544,-8.41602465331279,58.2788906009245,54.5762711864407,37.5161787365177,2.53448275862069,4.31034482758621,10.7758620689655,0.0,19.6206896551724,23.0,23.0
ELM,-1.03479817061046,16.6100616424737,1198.44839928415,1303.03022469676,7.57029230463313,-6.27580035792404,93.0328097037184,87.7918075164049,63.6114535692981,12.8108925869894,1.6732223903177,15.4341906202723,0.0332829046898638,17.2662632375189,21.5217391304348,21.5217391304348
ELP,3.92978003384095,14.0607499590634,1190.32896675946,1366.99118497899,8.4416789476557,-0.936930298564489,116.246302057748,111.379591725343,88.8771628186234,10.8758344459279,1.46385657066565,9.55750524508869,0.0177379362960137,20.8800305168796,21.5,21.5
ERI,1.57730859458307,17.5869055235658,1221.01514182128,1283.72830027724,11.6026871401152,-3.96545105566219,90.3651098315206,84.8223501812753,55.6327575175944,6.90560471976401,1.41150442477876,14.5250737463127,0.18141592920354,25.117994100295,41.3076923076923,41.3076923076923
ESC,2.85628227194492,14.5817555938038,1454.10929432014,1539.31497418244,8.84853700516351,-1.05765920826162,78.4018932874355,74.4879518072289,51.0576592082616,4.71666666666667,1.12222222222222,8.31111111111111,0.0277777777777778,32.8888888888889,39.75,39.75
EUG,2.16463195691203,14.643447037702,1195.8171154997,1316.98839018552,9.40478755236385,-0.758827049670856,102.840993417115,99.9412327947337,75.8929982046679,7.39460305044975,0.816581931951506,15.706296441142,0.0254204145482988,18.4587407117716,26.6756756756757,26.6756756756757
