dest,dest_avg_dep_delay,dest_avg_taxi_out,dest_avg_wheels_off,dest_avg_wheels_on,dest_avg_taxi_in,dest_avg_arr_delay,dest_avg_crs_elapsed_time,dest_avg_actual_elapsed_time,dest_avg_air_time,dest_avg_carrier_delay,dest_avg_weather_delay,dest_avg_nas_delay,dest_avg_security_delay,dest_avg_late_aircraft_delay,dest_avg_total_add_gtime,dest_avg_longest_add_gtime
AVL,11.5165075034106,20.128711790393,1480.05180131004,1574.71797955502,5.45804406056962,8.70343461030383,81.6009316770186,78.7573840822837,53.1831582421209,21.9987283825025,7.0233977619532,11.236520854527,0.069175991861648,26.9318413021363,43.3918918918919,42.9256756756757
AVP,10.1607223476298,22.7761706743808,1628.7630627373,1687.73813835567,4.50235421948569,5.79344470673688,92.7876694359423,88.7558762138125,61.4826209274889,19.6257416704701,5.83021451392058,12.3235965312643,0.0684618895481515,28.6581469648562,49.4204545454545,49.1818181818182
AZA,14.857943067034,12.076492194674,1547.88236914601,1633.19357208448,6.01019283746556,12.1803067879122,159.423809090081,156.681638651603,138.594562322035,21.2317335243553,3.93194842406877,8.87249283667622,0.251790830945559,34.6647564469914,35.6607142857143,33.5
AZO,9.82213541666667,20.617911615174,1601.96949550254,1660.05026765896,3.73678025851939,5.5086387434555,59.4122562674095,55.3761780104712,31.0437172774869,23.5260597637248,7.5642807505212,10.0097289784573,0.0,27.8325225851286,48.6779661016949,46.5423728813559
BDL,11.6659283057153,17.2906139015728,1470.24097750719,1483.08888212207,5.35639125727433,6.19568937763695,130.871485477178,125.635696862931,102.991039365811,22.8366949152542,3.87983050847458,9.78457627118644,0.116186440677966,28.3901694915254,39.7564102564103,39.3615384615385
BET,-2.99507692307692,12.3526510480888,1362.31442663379,1464.80359355638,3.70508054522924,-3.79850746268657,77.2815884476534,76.4944029850746,60.4185323383085,18.6617647058824,12.7573529411765,5.97794117647059,0.0,12.3455882352941,17.875,17.875
BFF,11.7191489361702,18.8616567036721,1784.98462852263,1828.83832335329,4.01710863986313,4.84991423670669,57.7506255212677,51.1174957118353,28.2512864493997,53.7878787878788,5.72727272727273,8.17676767676768,0.0,26.5050505050505,32.7142857142857,32.7142857142857
BFL,11.2957954785548,21.2142857142857,1637.38186813187,1701.49619450317,4.58414376321353,7.12375713983499,116.646076794658,112.364924899513,86.5667442352443,29.1691489361702,2.40744680851064,6.7531914893617,0.331914893617021,33.0,28.375,28.375
BFM,8.36363636363636,19.4350649350649,1215.85714285714,1492.94805194805,9.40909090909091,7.18181818181818,156.132911392405,155.415584415584,126.571428571429,22.5142857142857,0.0,30.6285714285714,0.0,10.8571428571429,20.5,20.5
BGM,14.3496767241379,20.1239892183288,1620.27870619946,1679.95297297297,3.82432432432432,4.98803046789989,87.3749333333333,79.0119695321001,55.0772578890098,27.978978978979,17.2672672672673,11.1711711711712,0.24024024024024,21.4174174174174,45.4117647058824,45.4117647058824
BGR,10.8223438212494,24.3167820699708,1447.8630648688,1521.53667883212,4.98886861313869,6.68553401609364,112.021674271674,108.255641845592,78.945180447693,22.133611691023,2.37995824634656,11.4258872651357,0.021294363256785,31.4839248434238,52.9909090909091,52.2363636363636
BHM,11.491601205474,18.8323114956737,1511.19161928307,1568.63933331685,4.02297287272188,7.50169785599207,104.30576343668,100.146996133637,77.3095816397343,21.75164987843,4.47111265485701,9.38265601481996,0.0976033344911428,27.2000694685655,42.1609589041096,41.2465753424658
BIL,8.9842331581462,18.0518872431916,1499.25814464507,1485.28490818669,3.93141381289459,2.78737286509307,115.249548950717,109.207925542122,87.2517750911533,24.9588960657663,6.19788608338227,8.53787433940106,0.111567821491486,25.7480916030534,32.8194444444444,32.5972222222222
BIS,11.8444116198917,19.8404926108374,1462.16137931034,1592.53160437827,4.83699832363672,6.19807863721898,117.276698559969,111.429137367535,86.758046944637,26.6805625313913,8.79708689100954,9.08186840783526,0.0311401305876444,29.1988950276243,45.0875,43.35
BJI,6.04424778761062,18.9959155888359,1651.23213070116,1695.76310415248,4.66848196051736,-0.634129692832765,68.4679270762998,61.877133105802,38.2075085324232,21.8734939759036,25.9638554216867,12.8915662650602,0.0,21.5060240963855,30.5,30.5
BKG,12.7585034013605,19.877133105802,1466.53924914676,1660.01369863014,6.81849315068493,11.7465753424658,105.291390728477,104.575342465753,77.8835616438356,15.8513513513514,0.0,20.4324324324324,0.0,34.6891891891892,75.5,75.5
BLI,3.18488238668962,15.5874587458746,1535.07375520161,1512.22274949669,5.23698590739143,0.834557235421166,108.116067623242,106.000431965443,85.2093592512599,18.5934393638171,1.81312127236581,9.36182902584493,0.0546719681908549,18.7882703777336,24.64,23.8823529411765
BLV,9.17993079584775,13.6594167078596,1217.72120612951,1369.09490855166,6.16065249629263,8.16468253968254,134.203148057059,133.22619047619,113.480158730159,30.7122302158273,7.29976019184652,10.5755395683453,0.0911270983213429,17.3812949640288,25.8461538461538,25.0
BMI,11.8408156553198,19.5261169513798,1521.75476346912,1583.64607295432,4.14853762734144,8.38375165125495,97.2201923076923,94.1713390501319,70.5062664907652,25.8377088305489,8.02943516308672,8.94828957836118,0.081145584725537,29.2267303102625,32.6862745098039,32.6862745098039
BNA,10.1005332028395,17.0605960433301,1395.04392132431,1475.58771734639,6.50791188531104,4.06534333261182,126.616003057989,120.61287653095,97.0514220966058,20.1316614420063,3.15074580591822,9.33304626408075,0.0994178235557546,27.3364221984912,42.1712643678161,41.7298850574713
BOI,6.76883788006249,17.0206121549617,1482.94853972197,1571.81135817308,3.98098958333333,2.04308771929825,109.847262650026,105.052110275689,84.0527318295739,21.2379332897318,3.0380640941792,6.75644211903205,0.0644865925441465,26.2234139960759,32.1566265060241,31.8032128514056
BOS,15.0214326496552,18.4206645557857,1379.63726189229,1429.81042570737,8.40670668234849,9.42878417117657,157.320277008494,152.451230860333,125.628549192116,17.8302299028798,2.86366519600242,24.2897396501417,0.0583003256135207,28.6226125199104,40.7860988742046,40.0734214390602
BPT,5.5281650864473,21.4742729306488,1555.48993288591,1633.32940516274,4.14758698092031,4.2611142374789,79.1168199026501,78.0815981992122,52.4541361845808,14.1754966887417,9.36754966887417,11.1026490066225,0.0,23.4304635761589,37.6,37.6
BQK,8.50416054821341,20.3666828557552,1516.79796017484,1583.43807673628,3.60271976687712,4.20117762512267,70.7224371373308,66.5402242808386,42.5568015602145,26.5032467532468,11.9188311688312,8.38636363636364,0.0,24.2305194805195,25.7,25.7
BQN,19.0640207890385,17.743680604772,1300.62957713206,436.5530356721,7.23623907394283,14.1782927406006,182.392161464445,177.509813194609,152.535824071885,23.5230891719745,1.94187898089172,10.2213375796178,0.175955414012739,29.5167197452229,32.1351351351351,31.4594594594595
BRD,14.3594249201278,16.871096877502,1840.31865492394,1862.30904723779,4.42273819055244,5.90224358974359,55.7399527186761,47.6081730769231,26.3309294871795,44.9225806451613,63.6516129032258,7.74838709677419,0.0,17.5032258064516,48.7142857142857,48.7142857142857
BRO,7.16628264208909,19.4718431674034,1510.5685181626,1542.47046332046,4.84517374517374,5.56061192873741,87.6935665914221,86.0660340821069,61.7701394268009,26.1982281284607,5.62679955703211,10.3133997785161,0.0210409745293466,23.9645625692137,41.3548387096774,40.7096774193548
BRW,-8.60933147632312,7.93732590529248,1363.34331476323,1421.05464868701,4.19730305180979,-8.79985805535841,48.7209621993127,49.2938254080908,37.1738821859475,4.25225225225225,3.22522522522523,6.05405405405405,0.027027027027027,32.3693693693694,6.5,6.5
BTM,1.0480413895048,18.6629711751663,1693.75018477458,1768.78566149298,3.41537324464154,-7.27740492170022,87.0945347119646,78.7024608501119,56.6562266964952,25.0897435897436,42.2179487179487,6.32051282051282,0.0,15.9358974358974,28.8181818181818,28.8181818181818
BTR,10.3103149763601,19.6515806988353,1532.18009983361,1581.80327541442,4.46594767325744,6.42477462437396,90.0477564943584,86.2034305546286,62.0854301541747,32.9436212504518,4.48825442717745,8.93783881460065,0.0,25.8127936393206,36.3095238095238,36.3095238095238
