tail_num,tail_num_avg_dep_delay,tail_num_avg_taxi_out,tail_num_avg_wheels_off,tail_num_avg_wheels_on,tail_num_avg_taxi_in,tail_num_avg_arr_delay,tail_num_avg_crs_elapsed_time,tail_num_avg_actual_elapsed_time,tail_num_avg_air_time,tail_num_avg_carrier_delay,tail_num_avg_weather_delay,tail_num_avg_nas_delay,tail_num_avg_security_delay,tail_num_avg_late_aircraft_delay,tail_num_avg_total_add_gtime,tail_num_avg_longest_add_gtime
N282NN,3.35606060606061,18.1242424242424,1333.83939393939,1447.13636363636,9.02878787878788,-0.263636363636364,124.675757575758,121.056060606061,93.9030303030303,6.4297520661157,1.4297520661157,15.595041322314,0.0,14.5371900826446,46.0,46.0
N282SY,6.26307847082495,20.5261569416499,1353.58903420523,1489.43812877264,7.51307847082495,-0.699698189134809,126.776659959759,119.813883299799,91.7746478873239,6.54864864864865,3.57837837837838,13.7432432432432,0.0,21.1486486486486,20.5,20.5
N282VA,3.55935251798561,20.9617805755396,1381.65602517986,1488.6398381295,9.22212230215827,0.744154676258993,210.468525179856,207.653327338129,177.469424460432,9.24892703862661,0.721030042918455,17.8690987124464,0.206008583690987,10.9484978540773,13.3125,13.3125
N282WN,7.70619235836627,12.1212121212121,1378.33201581028,1453.45006587615,5.1596837944664,0.803425559947299,118.674571805007,111.771805006588,94.4909090909091,11.7260273972603,0.596651445966514,7.12937595129376,0.164383561643836,18.2633181126332,24.4444444444444,24.4444444444444
N283AK,0.790180444817457,19.0142677297524,1345.376416282,1458.4494334872,8.60679815358792,-3.36508602601762,220.652958455728,216.497691984893,188.876626101553,6.45054945054945,1.31318681318681,16.8406593406593,0.236263736263736,10.7252747252747,20.2,20.2
N283AY,4.14522821576764,23.4232365145228,1298.57261410788,1646.94190871369,9.29460580912863,-1.63900414937759,254.174273858921,248.390041493776,215.672199170124,21.7380952380952,0.0,19.452380952381,0.0,4.09523809523809,30.0,30.0
N283JB,7.10951008645533,17.2708933717579,1341.65619596542,1425.02564841499,6.61008645533141,2.50893371757925,113.211239193084,108.610662824207,84.7296829971182,16.9796696315121,0.650571791613723,12.5628970775095,0.0228716645489199,19.1346886912325,24.5555555555556,24.5555555555556
N283NN,2.6401766004415,19.1037527593819,1312.37086092715,1429.41501103753,9.82781456953642,-1.1037527593819,118.593818984547,114.849889624724,85.9183222958057,5.73913043478261,3.18840579710145,15.0724637681159,0.0,17.536231884058,20.0,20.0
N283SY,6.26337448559671,20.2165637860082,1348.54115226337,1486.68467078189,7.37911522633745,-1.30555555555556,128.020061728395,120.451131687243,92.8554526748971,6.7469512195122,3.25914634146341,16.2408536585366,0.158536585365854,24.0823170731707,31.5,31.5
N283VA,4.44706386626661,21.1007286755251,1396.34976425204,1494.45863694814,9.08144020574368,1.40205743677668,206.535362194599,203.490355765109,173.308186883841,9.88931297709924,0.175572519083969,16.8492366412214,0.0343511450381679,11.9179389312977,22.2142857142857,22.2142857142857
N283WN,8.36169088507265,12.0496697490092,1370.56591809775,1451.871334214,5.11254953764861,1.4,117.297225891678,110.335535006605,93.1733157199472,12.1657142857143,0.65,6.66571428571429,0.118571428571429,20.7814285714286,7.85714285714286,7.85714285714286
N28457,4.73182028716999,19.1032885595183,1345.26354793886,1433.67160722557,7.85780453913849,-0.267716535433071,186.973598888374,181.974062065771,155.012968967114,7.84636118598383,1.23989218328841,16.010781671159,0.0,20.0026954177898,24.2,24.2
N2846U,13.3829787234043,23.3191489361702,1227.57446808511,1248.48936170213,9.61702127659574,9.06382978723404,286.255319148936,281.936170212766,249.0,15.2666666666667,0.0,10.8,0.0,16.4,,
N28478,4.01163831692032,19.1172784243509,1340.47806624888,1461.49462846911,7.87466427931961,-0.944941808415398,188.426141450313,183.469561324978,156.477618621307,8.70111731843575,2.72067039106145,16.4022346368715,0.0,14.7821229050279,16.0,16.0
N284AK,1.57565366480926,19.0484354907844,1339.15345049293,1481.76553793399,8.78054007715388,-2.68709815687955,221.656236605229,217.393484783541,189.564509215602,6.88461538461539,0.502747252747253,19.1456043956044,0.296703296703297,11.1153846153846,9.40909090909091,9.40909090909091
N284AY,4.26431718061674,23.8193832599119,1290.4140969163,1608.24669603524,9.01762114537445,-1.51982378854626,238.039647577093,232.25550660793,199.418502202643,18.5869565217391,0.630434782608696,20.304347826087,0.0,5.58695652173913,27.3333333333333,27.3333333333333
N284JB,6.23492537313433,17.4922388059701,1350.6928358209,1415.38328358209,6.65492537313433,2.21074626865672,114.622985074627,110.598805970149,86.4516417910448,15.7544581618656,0.482853223593964,14.5034293552812,0.0178326474622771,18.7832647462277,23.05,23.05
